## Master file format version 1.0           2001.08.21 CCT&NRV

                         2021 MULTI-AGENCY INTENSIVES SCHEDULE

                     Last Updated - December 16, 2021 - CCT

  SESSION      SESSION DATE  DOY TIME  DUR       STATIONS                            SKED CORR STATUS  PF  DBC SUBM  DEL  MK4
    NAME         CODE  mondd ddd hh:mm hr                                                      yymondd    CODE      days  NUM 
------------------------------------------------------------------------------------------------------------------------------
|VGOS-B1096    |B21096|APR06| 96|18:30|1.0|IsOeOw                                   |DACH|OSO |       |    |VB|NASA|   0|    |
|IN121-097     |I21097|APR07| 97|18:30|1.0|KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|IN121-098     |I21098|APR08| 98|18:30|1.0|KkSvWz                                   |USNO|WASH|       |    |XU|NASA|   0|    |
|VGOS-21098    |V21098|APR08| 98|18:30|1.0|K2Ws                                     |NASA|WASH|       |    |VI|NASA|   0|    |
|IN121-099     |I21099|APR09| 99|18:45|1.0|KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|IN221-100     |Q21100|APR10|100|07:30|1.0|MkWz                                     |DACH|GSI |       |    |XK|GSI |   0|    |
|IN221-101     |Q21101|APR11|101|07:30|1.0|MkWz                                     |DACH|GSI |       |    |XK|GSI |   0|    |
|IN321-102     |Q21102|APR12|102|07:00|1.0|ShWnWz                                   |DACH|BONN|       |    |XK|NASA|   0|    |
|VGOS-C1102    |C21102|APR12|102|07:00|1.0|IsOeOw                                   |DACH|OSO |       |    |VC|OSO |   0|    |
|IN121-102     |I21102|APR12|102|18:30|1.0|KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|VGOS-21102    |V21102|APR12|102|18:30|1.0|K2Ws                                     |NASA|WASH|       |    |VI|NASA|   0|    |
|VGOS-B1102    |B21102|APR12|102|18:30|1.0|IsOeOw                                   |DACH|OSO |       |    |VB|NASA|   0|    |
|IN121-103     |I21103|APR13|103|18:30|1.0|KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|IN121-104     |I21104|APR14|104|18:30|1.0|KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|IN121-105     |I21105|APR15|105|18:30|1.0|KkSvWz                                   |USNO|WASH|       |    |XU|NASA|   0|    |
|VGOS-21105    |V21105|APR15|105|18:30|1.0|K2Ws                                     |NASA|WASH|       |    |VI|NASA|   0|    |
|IN121-106     |I21106|APR16|106|18:45|1.0|KkWz                                     |USNO|WASH|       |    |XU|NASA|   0|    |
|IN221-107     |Q21107|APR17|107|07:30|1.0|MkWz                                     |DACH|GSI |       |    |XK|GSI |   0|    |
|IN221-108     |Q21108|APR18|108|07:30|1.0|MkWz                                     |DACH|GSI |       |    |XK|GSI |   0|    |
